loss: 323.03376466035843, accuracy: 0.6437 
loss: 326.7559975385666, accuracy: 0.6396 
loss: 326.8072445988655, accuracy: 0.6406 
loss: 332.5429912209511, accuracy: 0.64 
loss: 328.42648166418076, accuracy: 0.6398 
loss: 327.1266279220581, accuracy: 0.6404 
loss: 328.85963290929794, accuracy: 0.6377 
loss: 328.46786561608315, accuracy: 0.639 
loss: 326.09428083896637, accuracy: 0.6451 
loss: 326.35207575559616, accuracy: 0.6443 
loss: 327.0490691065788, accuracy: 0.641 
loss: 328.01117101311684, accuracy: 0.6487 
loss: 331.2677960395813, accuracy: 0.6418 
loss: 328.7328177690506, accuracy: 0.6405 
loss: 330.85382598638535, accuracy: 0.643 
loss: 327.8366845548153, accuracy: 0.6453 
loss: 329.547687292099, accuracy: 0.6451 
loss: 330.42160844802856, accuracy: 0.6436 
loss: 329.66174840927124, accuracy: 0.6448 
loss: 331.4242293834686, accuracy: 0.6483 
loss: 328.1081870794296, accuracy: 0.6465 
loss: 332.9887937307358, accuracy: 0.6406 
loss: 332.6698268651962, accuracy: 0.6478 
loss: 328.6486077904701, accuracy: 0.648 
loss: 332.6285344362259, accuracy: 0.6446 
loss: 331.2239879369736, accuracy: 0.6418 
loss: 333.43075266480446, accuracy: 0.6449 
loss: 337.2222597897053, accuracy: 0.6369 
loss: 338.3112887740135, accuracy: 0.6466 
loss: 339.4555687904358, accuracy: 0.6423 
loss: 337.28390884399414, accuracy: 0.6429 
loss: 341.5246385335922, accuracy: 0.6444 
loss: 326.72719046473503, accuracy: 0.6449 
loss: 340.44796496629715, accuracy: 0.6386 
loss: 334.6713177263737, accuracy: 0.6482 
loss: 329.7857408821583, accuracy: 0.6442 
loss: 329.48746091127396, accuracy: 0.6511 
loss: 325.796217918396, accuracy: 0.6471 
loss: 335.34371972084045, accuracy: 0.652 
loss: 335.01023030281067, accuracy: 0.6458 
loss: 343.5461572110653, accuracy: 0.6479 
loss: 329.18628734350204, accuracy: 0.6465 
loss: 335.67505663633347, accuracy: 0.6407 
loss: 330.92477628588676, accuracy: 0.6478 
loss: 331.80959275364876, accuracy: 0.651 
loss: 328.034016251564, accuracy: 0.6495 
loss: 334.33502542972565, accuracy: 0.6468 
loss: 337.8521960377693, accuracy: 0.6491 
loss: 342.81024557352066, accuracy: 0.6442 
loss: 339.9822094142437, accuracy: 0.6451 
loss: 336.48303055763245, accuracy: 0.6478 
loss: 336.9318935275078, accuracy: 0.6469 
loss: 334.4167902171612, accuracy: 0.6489 
loss: 339.9113290309906, accuracy: 0.6488 
loss: 339.9674429297447, accuracy: 0.6511 
loss: 344.94690150022507, accuracy: 0.6492 
loss: 347.0447587966919, accuracy: 0.6475 
loss: 337.75372859835625, accuracy: 0.6493 
loss: 330.7357488274574, accuracy: 0.6526 
loss: 342.0561797916889, accuracy: 0.6503 
loss: 340.4928588569164, accuracy: 0.644 
loss: 339.85135969519615, accuracy: 0.6512 
loss: 343.8051517903805, accuracy: 0.6482 
loss: 334.28326016664505, accuracy: 0.6506 
loss: 333.8360318541527, accuracy: 0.65 
loss: 343.4533177614212, accuracy: 0.6526 
loss: 343.1878786981106, accuracy: 0.653 
loss: 340.47186028957367, accuracy: 0.6472 
loss: 342.06244426965714, accuracy: 0.6527 
loss: 350.82349383831024, accuracy: 0.6461 
loss: 346.10231360793114, accuracy: 0.65 
loss: 339.2329773902893, accuracy: 0.6504 
loss: 352.38149467110634, accuracy: 0.6448 
loss: 343.62024518847466, accuracy: 0.6485 
loss: 349.4374616444111, accuracy: 0.6448 
loss: 338.4011196196079, accuracy: 0.6501 
loss: 347.8104889392853, accuracy: 0.6531 
loss: 349.7051212191582, accuracy: 0.6498 
loss: 348.52114325761795, accuracy: 0.649 
loss: 348.7558202147484, accuracy: 0.6509 
loss: 341.9780061542988, accuracy: 0.6496 
loss: 347.62690556049347, accuracy: 0.649 
loss: 338.90017184615135, accuracy: 0.6513 
loss: 356.22561153769493, accuracy: 0.6486 
loss: 353.2434787750244, accuracy: 0.6475 
loss: 353.0398999750614, accuracy: 0.6518 
loss: 353.75962483882904, accuracy: 0.6522 
loss: 352.13585180044174, accuracy: 0.6518 
loss: 357.01373729109764, accuracy: 0.6462 
loss: 356.02414670586586, accuracy: 0.6513 
loss: 360.9754904806614, accuracy: 0.6493 
loss: 370.0373894870281, accuracy: 0.632 
loss: 352.5043418109417, accuracy: 0.6447 
loss: 357.75732201337814, accuracy: 0.6455 
loss: 371.4077778458595, accuracy: 0.6438 
loss: 357.7812623977661, accuracy: 0.6477 
loss: 355.7085272073746, accuracy: 0.6466 
loss: 357.37969520688057, accuracy: 0.6505 
loss: 354.4055936932564, accuracy: 0.6531 
loss: 355.6521257162094, accuracy: 0.6467 
loss: 358.31222727894783, accuracy: 0.6497 
loss: 369.2825086116791, accuracy: 0.6411 
loss: 362.41098403930664, accuracy: 0.6483 
loss: 361.3925811648369, accuracy: 0.6477 
loss: 365.6432671546936, accuracy: 0.6487 
loss: 370.510335624218, accuracy: 0.6443 
loss: 372.296767950058, accuracy: 0.641 
loss: 376.9107237458229, accuracy: 0.648 
loss: 363.6785340309143, accuracy: 0.643 
loss: 374.4712344408035, accuracy: 0.6495 
loss: 369.8338448703289, accuracy: 0.6483 
loss: 388.7201877832413, accuracy: 0.6354 
loss: 375.72569888830185, accuracy: 0.6394 
loss: 372.42324858903885, accuracy: 0.6431 
loss: 377.2299885749817, accuracy: 0.646 
loss: 370.6923279762268, accuracy: 0.642 
loss: 368.7720365822315, accuracy: 0.6443 
loss: 390.3642467260361, accuracy: 0.6424 
loss: 385.9135668873787, accuracy: 0.6391 
loss: 386.58810991048813, accuracy: 0.6412 
loss: 386.59442779421806, accuracy: 0.6467 
loss: 380.12958586215973, accuracy: 0.6412 
loss: 403.18940830230713, accuracy: 0.6415 
loss: 398.0440931916237, accuracy: 0.6439 
loss: 391.4548524618149, accuracy: 0.647 
loss: 386.17243298888206, accuracy: 0.6454 
loss: 403.07771587371826, accuracy: 0.6442 
