loss: 0.3102977242259397, accuracy: 0.9149 
loss: 0.30920712582106563, accuracy: 0.9148 
loss: 0.3102675860263582, accuracy: 0.9146 
loss: 0.30902308745652096, accuracy: 0.9149 
loss: 0.3088286346968095, accuracy: 0.915 
loss: 0.3085319442585422, accuracy: 0.9153 
loss: 0.3082655155364266, accuracy: 0.9147 
loss: 0.3078522081721039, accuracy: 0.915 
loss: 0.3074918729163834, accuracy: 0.9159 
loss: 0.307627202898954, accuracy: 0.9156 
loss: 0.30708520049688043, accuracy: 0.9158 
loss: 0.3073152152291282, accuracy: 0.9153 
loss: 0.30690174741649884, accuracy: 0.9156 
loss: 0.30623774405731385, accuracy: 0.916 
loss: 0.3059304326512813, accuracy: 0.916 
loss: 0.30614461057480735, accuracy: 0.9155 
loss: 0.30599752858481943, accuracy: 0.9156 
loss: 0.30624764229476925, accuracy: 0.9164 
loss: 0.3059749975741646, accuracy: 0.9158 
loss: 0.30614218740693244, accuracy: 0.9159 
loss: 0.30539316599110333, accuracy: 0.9157 
loss: 0.3054364515240912, accuracy: 0.9162 
loss: 0.30471381076222726, accuracy: 0.9162 
loss: 0.3049312723036863, accuracy: 0.9158 
loss: 0.30436567573290324, accuracy: 0.9162 
loss: 0.3046384053154371, accuracy: 0.9155 
loss: 0.3043053495656954, accuracy: 0.917 
loss: 0.304123696252463, accuracy: 0.9151 
loss: 0.3039497830757786, accuracy: 0.9162 
loss: 0.30313374919166136, accuracy: 0.9159 
loss: 0.30384309776839363, accuracy: 0.9166 
loss: 0.30365524518115017, accuracy: 0.9161 
loss: 0.3033317984945411, accuracy: 0.9161 
loss: 0.3028121143263008, accuracy: 0.9167 
loss: 0.3034533495778239, accuracy: 0.9165 
loss: 0.3028048179218117, accuracy: 0.9164 
loss: 0.30231472511356494, accuracy: 0.9169 
loss: 0.30233467633422956, accuracy: 0.9159 
loss: 0.30184907659413146, accuracy: 0.9168 
loss: 0.30172888540194076, accuracy: 0.9162 
loss: 0.3014977064681271, accuracy: 0.9171 
loss: 0.3012656294845743, accuracy: 0.9161 
loss: 0.3012164416131994, accuracy: 0.9174 
loss: 0.3016123811105745, accuracy: 0.9172 
loss: 0.3015386083623741, accuracy: 0.9168 
loss: 0.30095634877009275, accuracy: 0.9164 
loss: 0.3010739845629849, accuracy: 0.917 
loss: 0.3008280680738967, accuracy: 0.9174 
loss: 0.3001351637955447, accuracy: 0.9176 
loss: 0.30109904979130414, accuracy: 0.9171 
loss: 0.2999221682800071, accuracy: 0.9173 
loss: 0.30092180247254613, accuracy: 0.9172 
loss: 0.29973380695714597, accuracy: 0.9184 
loss: 0.3002611576195775, accuracy: 0.9171 
loss: 0.2995744417156931, accuracy: 0.9178 
loss: 0.2999078623959142, accuracy: 0.9176 
loss: 0.2990387135568647, accuracy: 0.9175 
loss: 0.2993408184567564, accuracy: 0.9175 
loss: 0.29932568462736886, accuracy: 0.9178 
loss: 0.2990372017520218, accuracy: 0.9178 
loss: 0.2985762665295728, accuracy: 0.9173 
loss: 0.2989254935796589, accuracy: 0.917 
loss: 0.2981573450887017, accuracy: 0.9174 
loss: 0.2986828216203013, accuracy: 0.918 
loss: 0.2990910642418429, accuracy: 0.918 
loss: 0.29812809532134843, accuracy: 0.9181 
loss: 0.2982426609709484, accuracy: 0.9177 
loss: 0.29833340715909173, accuracy: 0.9179 
loss: 0.29760242386804187, accuracy: 0.9178 
loss: 0.2975988023548205, accuracy: 0.9183 
loss: 0.2974964705250011, accuracy: 0.9175 
loss: 0.29730882973946454, accuracy: 0.9181 
loss: 0.2974596112868254, accuracy: 0.9187 
loss: 0.29735781032050773, accuracy: 0.9181 
loss: 0.2971794650512418, accuracy: 0.9188 
loss: 0.2969697162399472, accuracy: 0.918 
