loss: 339.25833225250244, accuracy: 0.6256 
loss: 340.127787232399, accuracy: 0.6274 
loss: 335.122093975544, accuracy: 0.623 
loss: 339.3104302883148, accuracy: 0.6237 
loss: 335.444309592247, accuracy: 0.6287 
loss: 338.95454305410385, accuracy: 0.6303 
loss: 335.5064023733139, accuracy: 0.6299 
loss: 335.8396835923195, accuracy: 0.631 
loss: 332.3913932442665, accuracy: 0.6357 
loss: 332.1428048014641, accuracy: 0.6303 
loss: 335.4047502875328, accuracy: 0.6345 
loss: 336.4706328511238, accuracy: 0.631 
loss: 340.49830025434494, accuracy: 0.625 
loss: 335.95093274116516, accuracy: 0.6306 
loss: 329.8616493344307, accuracy: 0.6344 
loss: 331.2750397324562, accuracy: 0.637 
loss: 332.3249183893204, accuracy: 0.6346 
loss: 335.0436263680458, accuracy: 0.6289 
loss: 340.01064997911453, accuracy: 0.6332 
loss: 339.3026212453842, accuracy: 0.6348 
loss: 344.91322296857834, accuracy: 0.6285 
loss: 335.3650639653206, accuracy: 0.6332 
loss: 335.2385610938072, accuracy: 0.6324 
loss: 344.07176023721695, accuracy: 0.6267 
loss: 338.14976423978806, accuracy: 0.6383 
loss: 330.36475402116776, accuracy: 0.6358 
loss: 338.31650507450104, accuracy: 0.6302 
loss: 343.37185710668564, accuracy: 0.6322 
loss: 329.6682080626488, accuracy: 0.6338 
loss: 336.425421833992, accuracy: 0.6347 
loss: 339.3445690870285, accuracy: 0.6358 
loss: 338.7370446920395, accuracy: 0.633 
loss: 332.8991591334343, accuracy: 0.6331 
loss: 338.04767167568207, accuracy: 0.637 
loss: 343.74377208948135, accuracy: 0.6343 
loss: 348.6785280108452, accuracy: 0.6317 
loss: 340.5937554240227, accuracy: 0.6368 
loss: 343.3348488211632, accuracy: 0.6339 
loss: 337.99486631155014, accuracy: 0.6345 
loss: 342.7014218568802, accuracy: 0.633 
loss: 340.4634216427803, accuracy: 0.6336 
loss: 337.7315865159035, accuracy: 0.6365 
loss: 338.0491852760315, accuracy: 0.6364 
loss: 338.3597528934479, accuracy: 0.641 
loss: 333.59228336811066, accuracy: 0.6352 
loss: 335.5319314599037, accuracy: 0.6431 
loss: 337.13486683368683, accuracy: 0.6376 
loss: 340.8988315463066, accuracy: 0.6373 
loss: 348.5951862335205, accuracy: 0.6259 
loss: 342.2622204422951, accuracy: 0.6337 
loss: 348.7932367324829, accuracy: 0.6352 
loss: 340.92647302150726, accuracy: 0.6355 
loss: 335.2075890302658, accuracy: 0.6384 
loss: 339.77791452407837, accuracy: 0.6411 
loss: 340.75788778066635, accuracy: 0.6397 
loss: 344.52856463193893, accuracy: 0.635 
loss: 349.982030749321, accuracy: 0.634 
loss: 341.42547529935837, accuracy: 0.6371 
loss: 343.17149418592453, accuracy: 0.6379 
loss: 337.897257566452, accuracy: 0.6385 
loss: 334.9031689763069, accuracy: 0.6401 
loss: 344.0074066519737, accuracy: 0.6403 
loss: 344.97637164592743, accuracy: 0.6348 
loss: 341.4513718187809, accuracy: 0.637 
loss: 345.5358824133873, accuracy: 0.6386 
loss: 348.05068373680115, accuracy: 0.6374 
loss: 349.11529368162155, accuracy: 0.6313 
loss: 348.8441074490547, accuracy: 0.638 
loss: 354.76450526714325, accuracy: 0.6328 
loss: 357.9976133108139, accuracy: 0.6397 
loss: 351.62254297733307, accuracy: 0.632 
loss: 352.10198444128036, accuracy: 0.6369 
loss: 351.5081754922867, accuracy: 0.6355 
loss: 357.0919731259346, accuracy: 0.6378 
loss: 361.50467252731323, accuracy: 0.6341 
loss: 355.6405529975891, accuracy: 0.635 
loss: 337.57092320919037, accuracy: 0.6358 
loss: 347.98179465532303, accuracy: 0.6443 
loss: 339.6740087866783, accuracy: 0.6407 
loss: 344.5118650794029, accuracy: 0.6364 
loss: 351.8884251713753, accuracy: 0.6417 
loss: 351.50097954273224, accuracy: 0.6394 
loss: 354.5236000418663, accuracy: 0.6343 
loss: 357.8685780763626, accuracy: 0.6377 
loss: 361.9947226047516, accuracy: 0.6313 
loss: 362.4671835899353, accuracy: 0.6316 
loss: 358.6378606259823, accuracy: 0.6332 
loss: 364.6452105641365, accuracy: 0.6406 
loss: 348.8628160357475, accuracy: 0.6355 
loss: 344.8752846121788, accuracy: 0.6365 
loss: 356.77070593833923, accuracy: 0.6337 
loss: 353.92088678479195, accuracy: 0.6327 
loss: 355.6999413371086, accuracy: 0.6313 
loss: 359.1014191508293, accuracy: 0.6393 
loss: 352.46382343769073, accuracy: 0.64 
loss: 364.0679206252098, accuracy: 0.6393 
loss: 359.89681550860405, accuracy: 0.6404 
loss: 359.8391283750534, accuracy: 0.6369 
loss: 369.9904354214668, accuracy: 0.6369 
loss: 358.49289202690125, accuracy: 0.6328 
loss: 361.5319273471832, accuracy: 0.6339 
loss: 371.7713052928448, accuracy: 0.6327 
loss: 362.1548271179199, accuracy: 0.6332 
loss: 364.3064289689064, accuracy: 0.6339 
loss: 363.01603507995605, accuracy: 0.6366 
loss: 367.1464994251728, accuracy: 0.6314 
loss: 367.437757730484, accuracy: 0.6399 
loss: 363.5102201104164, accuracy: 0.6411 
loss: 369.565769970417, accuracy: 0.6401 
loss: 363.2112173140049, accuracy: 0.6402 
loss: 369.98588651418686, accuracy: 0.6392 
loss: 372.2534710764885, accuracy: 0.6343 
loss: 370.6223864555359, accuracy: 0.6343 
loss: 377.522583425045, accuracy: 0.633 
loss: 370.0194110274315, accuracy: 0.6389 
loss: 371.06497091054916, accuracy: 0.6382 
loss: 377.08707320690155, accuracy: 0.6326 
loss: 372.41529059410095, accuracy: 0.6365 
loss: 374.3910387158394, accuracy: 0.6346 
loss: 379.173121124506, accuracy: 0.6315 
loss: 377.41087633371353, accuracy: 0.636 
loss: 375.343789935112, accuracy: 0.6361 
loss: 379.8097034692764, accuracy: 0.6338 
loss: 380.54493167996407, accuracy: 0.6317 
loss: 371.81643211841583, accuracy: 0.6374 
loss: 372.00345000624657, accuracy: 0.6329 
loss: 387.49143758416176, accuracy: 0.6342 
loss: 382.93813174963, accuracy: 0.6353 
loss: 394.2355700433254, accuracy: 0.6318 
loss: 398.4867916107178, accuracy: 0.6348 
loss: 380.8927764594555, accuracy: 0.633 
loss: 382.50778436660767, accuracy: 0.6336 
loss: 388.59239435195923, accuracy: 0.6316 
loss: 391.16675850749016, accuracy: 0.636 
loss: 386.5869885087013, accuracy: 0.6348 
loss: 412.54010674357414, accuracy: 0.6239 
loss: 394.18465185165405, accuracy: 0.63 
loss: 399.9344161748886, accuracy: 0.6346 
loss: 404.8733754456043, accuracy: 0.6336 
loss: 406.7453461289406, accuracy: 0.6302 
loss: 392.83284735679626, accuracy: 0.6291 
loss: 397.94673562049866, accuracy: 0.6353 
loss: 405.7926999628544, accuracy: 0.6369 
loss: 390.3471465706825, accuracy: 0.6326 
loss: 401.51787811517715, accuracy: 0.634 
loss: 396.03043073415756, accuracy: 0.631 
loss: 405.4862467646599, accuracy: 0.6274 
loss: 401.4878182411194, accuracy: 0.6327 
loss: 414.46288177371025, accuracy: 0.6295 
loss: 406.73331421613693, accuracy: 0.6359 
loss: 415.3903469443321, accuracy: 0.6346 
loss: 419.280426800251, accuracy: 0.6301 
loss: 398.7326618731022, accuracy: 0.6269 
loss: 413.87696665525436, accuracy: 0.6271 
loss: 408.58436146378517, accuracy: 0.6326 
loss: 409.38224601745605, accuracy: 0.6283 
loss: 399.2353640496731, accuracy: 0.6327 
loss: 419.786259919405, accuracy: 0.6304 
loss: 423.43707394599915, accuracy: 0.6274 
loss: 421.74668100476265, accuracy: 0.6261 
loss: 421.7821401357651, accuracy: 0.6322 
loss: 418.38242733478546, accuracy: 0.6286 
loss: 428.1765007376671, accuracy: 0.6318 
loss: 436.09525829553604, accuracy: 0.6298 
loss: 414.8038600087166, accuracy: 0.6281 
loss: 425.53769820928574, accuracy: 0.624 
